Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Issue Stall Reasons (Synchronization)(%),,Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Pipe Busy)(%),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Issue Slots,Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Issue Slot Utilization(%),Issue Stall Reasons (Instructions Fetch)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Other)(%)
"executeSeventhLayer_PSC_partA(double*, double*, double*, double*, double*, double*, double*)",1,3021358,30,0,0,0,,0.018,0.015,25,0,25,0.743,0.005,2298521,0.896,100,99.831,4.117,0.235,2.591,23.888,20.393,51.862
"executeThirdLayer_PSC_partA(double*, double*, double*, double*, double*, double*, double*)",1,3307384,32,0,0,0,,0.009,0.035,25,0,25,3.545,0.011,3373735,0.845,100,100,4.772,0.31,2.934,26.746,21.605,45.165
"executeNinthLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,3557474,30,0,0,0,,0.012,0.023,27.893,0,25,0.78,0.01,3616525,0.71,98,97.834,4.809,0.311,3.189,30.604,23.104,41.965
"executeTwentySevenLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4408801,32,0,0,0,,0.006,0.014,53.675,0,32.822,0.093,0.032,8401686,0.952,76.562,76.545,10.643,0.32,6.785,38.854,15.306,38.703
"executeNineteenthLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4830256,30,0,0,0,,0.008,0.02,40.92,0,25,0.205,0.014,7473290,0.904,87.5,87.46,7.258,0.443,3.584,27.896,19.587,48.332
"executeTwentyOneLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4839921,30,0,0,0,,0.007,0.021,40.92,0,25,0.205,0.014,7473290,0.901,87.5,87.46,7.263,0.446,3.613,27.78,19.508,48.825
"executeTwentyThreeLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4841552,30,0,0,0,,0.019,0.02,40.92,0,25,0.208,0.014,7473290,0.881,87.5,87.46,7.264,0.45,3.777,27.61,19.315,48.294
"executeFifteenthLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4863634,30,0,0,0,,0.007,0.02,40.92,0,25,0.209,0.014,7473291,0.907,87.5,87.46,7.264,0.448,3.604,27.785,19.51,48.749
"executeSeventeenthLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,4953876,30,0,0,0,,0.007,0.02,40.92,0,25,0.195,0.014,7473293,0.904,87.5,87.46,7.247,0.439,3.599,27.757,19.453,48.087
"executeEleventhLayer_PSC(double*, double*, double*, double*, double*, double*, double*)",1,6952158,30,0,0,0,,0.006,0.018,27.895,0,25,0.463,0.008,6842642,0.7,98,97.912,4.598,0.326,3.314,29.757,23.2,43.159
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"executeTwentyEightLayer_AvgPooling(double*, double*)",1,58786,32,0,0,0,,0.429,0.007,25,0,25,1.745,0.025,5924,0.477,86.735,86.617,2.814,0.542,8.589,6.422,31.846,47.127
